Year,Indicator,Value
1999,Adjusted net national income (annual % growth),4.33201161335597
2000,Adjusted net national income (annual % growth),2.09105495425588
2001,Adjusted net national income (annual % growth),1.41573280714371
2002,Adjusted net national income (annual % growth),2.99155428561077
2003,Adjusted net national income (annual % growth),4.7597062471549
2004,Adjusted net national income (annual % growth),2.19761051612346
2005,Adjusted net national income (annual % growth),5.09805774665297
2006,Adjusted net national income (annual % growth),4.75962332185109
2007,Adjusted net national income (annual % growth),4.68910327866767
2008,Adjusted net national income (annual % growth),5.37314531653739
2009,Adjusted net national income (annual % growth),5.29813530583041
2010,Adjusted net national income (annual % growth),6.84724369854834
2011,Adjusted net national income (annual % growth),0.951025138909273
2012,Adjusted net national income (annual % growth),8.98370937002059
2013,Adjusted net national income (annual % growth),8.39189423844653
2014,Adjusted net national income (annual % growth),6.2261728315961
2015,Adjusted net national income (annual % growth),6.9504330056414
2016,Adjusted net national income (annual % growth),6.45306552317425
2017,Adjusted net national income (annual % growth),6.44850695051511
2018,Adjusted net national income (annual % growth),4.67419118623049
2019,Adjusted net national income (annual % growth),3.96210824180471
2020,Adjusted net national income (annual % growth),-11.1442818089777
2021,Adjusted net national income (annual % growth),-2.19715876637447
2022,Adjusted net national income (annual % growth),-2.19715876637447
2023,Adjusted net national income (annual % growth),-2.19715876637447
2024,Adjusted net national income (annual % growth),-2.19715876637447
1960,Adjusted net national income (constant 2015 US$),86948047531.9531
1961,Adjusted net national income (constant 2015 US$),86948047531.9531
1962,Adjusted net national income (constant 2015 US$),86948047531.9531
1963,Adjusted net national income (constant 2015 US$),86948047531.9531
1964,Adjusted net national income (constant 2015 US$),86948047531.9531
1965,Adjusted net national income (constant 2015 US$),86948047531.9531
1966,Adjusted net national income (constant 2015 US$),86948047531.9531
1967,Adjusted net national income (constant 2015 US$),86948047531.9531
1968,Adjusted net national income (constant 2015 US$),86948047531.9531
1969,Adjusted net national income (constant 2015 US$),86948047531.9531
1970,Adjusted net national income (constant 2015 US$),86948047531.9531
1971,Adjusted net national income (constant 2015 US$),86948047531.9531
1972,Adjusted net national income (constant 2015 US$),86948047531.9531
1973,Adjusted net national income (constant 2015 US$),86948047531.9531
1974,Adjusted net national income (constant 2015 US$),86948047531.9531
1975,Adjusted net national income (constant 2015 US$),86948047531.9531
1976,Adjusted net national income (constant 2015 US$),86948047531.9531
1977,Adjusted net national income (constant 2015 US$),86948047531.9531
1978,Adjusted net national income (constant 2015 US$),86948047531.9531
1979,Adjusted net national income (constant 2015 US$),86948047531.9531
1980,Adjusted net national income (constant 2015 US$),86948047531.9531
1981,Adjusted net national income (constant 2015 US$),86948047531.9531
1982,Adjusted net national income (constant 2015 US$),89090347322.8686
1983,Adjusted net national income (constant 2015 US$),90492612329.9704
1984,Adjusted net national income (constant 2015 US$),81538434541.7824
1985,Adjusted net national income (constant 2015 US$),75936703738.4115
1986,Adjusted net national income (constant 2015 US$),78149721414.174
1987,Adjusted net national income (constant 2015 US$),84018327362.5864
1988,Adjusted net national income (constant 2015 US$),90360940026.5678
1989,Adjusted net national income (constant 2015 US$),94752266311.5264
1990,Adjusted net national income (constant 2015 US$),100516242811.016
1991,Adjusted net national income (constant 2015 US$),100549700616.515
1992,Adjusted net national income (constant 2015 US$),102959888270.721
1993,Adjusted net national income (constant 2015 US$),103433209521.484
1994,Adjusted net national income (constant 2015 US$),109646113170.268
1995,Adjusted net national income (constant 2015 US$),114313749139.407
1996,Adjusted net national income (constant 2015 US$),120178014447.198
1997,Adjusted net national income (constant 2015 US$),127523711706.725
1998,Adjusted net national income (constant 2015 US$),141257193903.364
1999,Adjusted net national income (constant 2015 US$),147376471947.959
2000,Adjusted net national income (constant 2015 US$),150458194966.034
2001,Adjusted net national income (constant 2015 US$),152588280993.205
2002,Adjusted net national income (constant 2015 US$),157153042252.597
2003,Adjusted net national income (constant 2015 US$),164633065422.287
2004,Adjusted net national income (constant 2015 US$),168251058981.024
2005,Adjusted net national income (constant 2015 US$),176828595127.232
2006,Adjusted net national income (constant 2015 US$),185244970180.609
2007,Adjusted net national income (constant 2015 US$),193931298150.915
2008,Adjusted net national income (constant 2015 US$),204351508614.811
2009,Adjusted net national income (constant 2015 US$),215178328040.729
2010,Adjusted net national income (constant 2015 US$),229912112548.14
2011,Adjusted net national income (constant 2015 US$),232098634535.87
2012,Adjusted net national income (constant 2015 US$),252949701314.359
2013,Adjusted net national income (constant 2015 US$),274176972725.126
2014,Adjusted net national income (constant 2015 US$),291247704911.431
2015,Adjusted net national income (constant 2015 US$),311490681521.768
2016,Adjusted net national income (constant 2015 US$),331591379298.95
2017,Adjusted net national income (constant 2015 US$),352974072440.351
2018,Adjusted net national income (constant 2015 US$),369472755424.037
2019,Adjusted net national income (constant 2015 US$),384111665917.916
2020,Adjusted net national income (constant 2015 US$),341305179406.864
2021,Adjusted net national income (constant 2015 US$),333806162737.436
2022,Adjusted net national income (constant 2015 US$),333806162737.436
2023,Adjusted net national income (constant 2015 US$),333806162737.436
2024,Adjusted net national income (constant 2015 US$),333806162737.436
1960,Adjusted net national income (current US$),7327913331.94127
1961,Adjusted net national income (current US$),7327913331.94127
1962,Adjusted net national income (current US$),7327913331.94127
1963,Adjusted net national income (current US$),7327913331.94127
1964,Adjusted net national income (current US$),7327913331.94127
1965,Adjusted net national income (current US$),7327913331.94127
1966,Adjusted net national income (current US$),7327913331.94127
1967,Adjusted net national income (current US$),7327913331.94127
1968,Adjusted net national income (current US$),7327913331.94127
1969,Adjusted net national income (current US$),7327913331.94127
1970,Adjusted net national income (current US$),7327913331.94127
1971,Adjusted net national income (current US$),7327913331.94127
1972,Adjusted net national income (current US$),7913438766.5976
1973,Adjusted net national income (current US$),10092143976.0132
1974,Adjusted net national income (current US$),14182340850.596
1975,Adjusted net national income (current US$),15372422185.6206
1976,Adjusted net national income (current US$),17592992784.5699
1977,Adjusted net national income (current US$),20378103570.0404
1978,Adjusted net national income (current US$),23653992506.6934
1979,Adjusted net national income (current US$),28169367198.4796
1980,Adjusted net national income (current US$),33415440889.03
1981,Adjusted net national income (current US$),36839007844.1127
1982,Adjusted net national income (current US$),37932414447.8561
1983,Adjusted net national income (current US$),33674477824.5681
1984,Adjusted net national income (current US$),30766311979.538
1985,Adjusted net national income (current US$),29981342776.2305
1986,Adjusted net national income (current US$),29164758911.1833
1987,Adjusted net national income (current US$),32839248511.4869
1988,Adjusted net national income (current US$),37991734915.2346
1989,Adjusted net national income (current US$),42928756297.7937
1990,Adjusted net national income (current US$),45668192795.9917
1991,Adjusted net national income (current US$),47404022481.024
1992,Adjusted net national income (current US$),56056580303.5836
1993,Adjusted net national income (current US$),57395771164.5038
1994,Adjusted net national income (current US$),68414709178.9026
1995,Adjusted net national income (current US$),79208058843.2962
1996,Adjusted net national income (current US$),89581861777.4551
1997,Adjusted net national income (current US$),90571146376.435
1998,Adjusted net national income (current US$),78169985253.975
1999,Adjusted net national income (current US$),89731686931.8723
2000,Adjusted net national income (current US$),84581118725.3748
2001,Adjusted net national income (current US$),79595599320.7617
2002,Adjusted net national income (current US$),84849624884.4186
2003,Adjusted net national income (current US$),87312273574.5341
2004,Adjusted net national income (current US$),92704698231.3808
2005,Adjusted net national income (current US$),105017715497.777
2006,Adjusted net national income (current US$),123619733563.454
2007,Adjusted net national income (current US$),148699594543.906
2008,Adjusted net national income (current US$),176677586983.443
2009,Adjusted net national income (current US$),175966969263.121
2010,Adjusted net national income (current US$),206135924716.328
2011,Adjusted net national income (current US$),230737385312.53
2012,Adjusted net national income (current US$),262568198012.994
2013,Adjusted net national income (current US$),287331942359.665
2014,Adjusted net national income (current US$),299541131461.62
2015,Adjusted net national income (current US$),311490681521.768
2016,Adjusted net national income (current US$),323895918510.462
2017,Adjusted net national income (current US$),333702122642.386
2018,Adjusted net national income (current US$),350371847985.215
2019,Adjusted net national income (current US$),375755437994.094
2020,Adjusted net national income (current US$),350838234571.58
2021,Adjusted net national income (current US$),361503537885.292
2022,Adjusted net national income (current US$),361503537885.292
2023,Adjusted net national income (current US$),361503537885.292
2024,Adjusted net national income (current US$),361503537885.292
1960,Adjusted net national income per capita (annual % growth),-0.333353310569706
1961,Adjusted net national income per capita (annual % growth),-0.333353310569706
1962,Adjusted net national income per capita (annual % growth),-0.333353310569706
1963,Adjusted net national income per capita (annual % growth),-0.333353310569706
1964,Adjusted net national income per capita (annual % growth),-0.333353310569706
1965,Adjusted net national income per capita (annual % growth),-0.333353310569706
1966,Adjusted net national income per capita (annual % growth),-0.333353310569706
1967,Adjusted net national income per capita (annual % growth),-0.333353310569706
1968,Adjusted net national income per capita (annual % growth),-0.333353310569706
1969,Adjusted net national income per capita (annual % growth),-0.333353310569706
1970,Adjusted net national income per capita (annual % growth),-0.333353310569706
1971,Adjusted net national income per capita (annual % growth),-0.333353310569706
1972,Adjusted net national income per capita (annual % growth),-0.333353310569706
1973,Adjusted net national income per capita (annual % growth),-0.333353310569706
1974,Adjusted net national income per capita (annual % growth),-0.333353310569706
1975,Adjusted net national income per capita (annual % growth),-0.333353310569706
1976,Adjusted net national income per capita (annual % growth),-0.333353310569706
1977,Adjusted net national income per capita (annual % growth),-0.333353310569706
1978,Adjusted net national income per capita (annual % growth),-0.333353310569706
1979,Adjusted net national income per capita (annual % growth),-0.333353310569706
1980,Adjusted net national income per capita (annual % growth),-0.333353310569706
1981,Adjusted net national income per capita (annual % growth),-0.333353310569706
1982,Adjusted net national income per capita (annual % growth),-0.333353310569706
1983,Adjusted net national income per capita (annual % growth),-1.34299718908822
1984,Adjusted net national income per capita (annual % growth),-12.4635333095363
1985,Adjusted net national income per capita (annual % growth),-9.37793573817831
1986,Adjusted net national income per capita (annual % growth),0.312467583083446
1987,Adjusted net national income per capita (annual % growth),4.7135948117903
1988,Adjusted net national income per capita (annual % growth),4.70178406210589
1989,Adjusted net national income per capita (annual % growth),2.24755027991471
1990,Adjusted net national income per capita (annual % growth),3.40068084451947
1991,Adjusted net national income per capita (annual % growth),-2.34018108828728
1992,Adjusted net national income per capita (annual % growth),-0.0009499065287883
1993,Adjusted net national income per capita (annual % growth),-1.92716164486002
1994,Adjusted net national income per capita (annual % growth),3.72023444999606
1995,Adjusted net national income per capita (annual % growth),2.00038539855396
1996,Adjusted net national income per capita (annual % growth),2.7358377489867
1997,Adjusted net national income per capita (annual % growth),3.6449647754591
1998,Adjusted net national income per capita (annual % growth),8.01848077621992
1999,Adjusted net national income per capita (annual % growth),1.69901945273033
2000,Adjusted net national income per capita (annual % growth),-0.309294115552348
2001,Adjusted net national income per capita (annual % growth),-0.797047016944674
2002,Adjusted net national income per capita (annual % growth),0.924255412655086
2003,Adjusted net national income per capita (annual % growth),2.70369348093919
2004,Adjusted net national income per capita (annual % growth),0.230809492770973
2005,Adjusted net national income per capita (annual % growth),3.16190795466669
2006,Adjusted net national income per capita (annual % growth),3.0122162866459
2007,Adjusted net national income per capita (annual % growth),2.88878998831139
2008,Adjusted net national income per capita (annual % growth),3.52720917461365
2009,Adjusted net national income per capita (annual % growth),3.4181216467581
2010,Adjusted net national income per capita (annual % growth),4.68131533979981
2011,Adjusted net national income per capita (annual % growth),-1.01304098106418
2012,Adjusted net national income per capita (annual % growth),6.88738375685402
2013,Adjusted net national income per capita (annual % growth),6.37346448236771
2014,Adjusted net national income per capita (annual % growth),4.4953108942309
2015,Adjusted net national income per capita (annual % growth),5.38053543529256
2016,Adjusted net national income per capita (annual % growth),5.03410613477504
2017,Adjusted net national income per capita (annual % growth),5.08592478004657
2018,Adjusted net national income per capita (annual % growth),3.38749137960555
2019,Adjusted net national income per capita (annual % growth),2.70542460569307
2020,Adjusted net national income per capita (annual % growth),-12.1563289392101
2021,Adjusted net national income per capita (annual % growth),-3.07892136842291
2022,Adjusted net national income per capita (annual % growth),-3.07892136842291
2023,Adjusted net national income per capita (annual % growth),-3.07892136842291
2024,Adjusted net national income per capita (annual % growth),-3.07892136842291
1960,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1961,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1962,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1963,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1964,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1965,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1966,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1967,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1968,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1969,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1970,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1971,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1972,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1973,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1974,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1975,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1976,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1977,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1978,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1979,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1980,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1981,Adjusted net national income per capita (constant 2015 US$),1763.23265928109
1982,Adjusted net national income per capita (constant 2015 US$),1757.35486483833
1983,Adjusted net national income per capita (constant 2015 US$),1733.75363840125
1984,Adjusted net national income per capita (constant 2015 US$),1517.66667617381
1985,Adjusted net national income per capita (constant 2015 US$),1375.34087056248
1986,Adjusted net national income per capita (constant 2015 US$),1379.63836493989
1987,Adjusted net national income per capita (constant 2015 US$),1444.66892733116
1988,Adjusted net national income per capita (constant 2015 US$),1512.59414070662
1989,Adjusted net national income per capita (constant 2015 US$),1546.59045455004
1990,Adjusted net national income per capita (constant 2015 US$),1599.18505988109
1991,Adjusted net national income per capita (constant 2015 US$),1561.76123354304
1992,Adjusted net national income per capita (constant 2015 US$),1561.74639827112
1993,Adjusted net national income per capita (constant 2015 US$),1531.64902069365
1994,Adjusted net national income per capita (constant 2015 US$),1588.62995521452
1995,Adjusted net national income per capita (constant 2015 US$),1620.40867687569
1996,Adjusted net national income per capita (constant 2015 US$),1664.74042914551
1997,Adjusted net national income per capita (constant 2015 US$),1725.41963139069
1998,Adjusted net national income per capita (constant 2015 US$),1863.77207284288
1999,Adjusted net national income per capita (constant 2015 US$),1895.43792291503
2000,Adjusted net national income per capita (constant 2015 US$),1889.57544495551
2001,Adjusted net national income per capita (constant 2015 US$),1874.51464023857
2002,Adjusted net national income per capita (constant 2015 US$),1891.83994326199
2003,Adjusted net national income per capita (constant 2015 US$),1942.98949647777
2004,Adjusted net national income per capita (constant 2015 US$),1947.47410067918
2005,Adjusted net national income per capita (constant 2015 US$),2009.05143918363
2006,Adjusted net national income per capita (constant 2015 US$),2069.56841384181
2007,Adjusted net national income per capita (constant 2015 US$),2129.35389898213
2008,Adjusted net national income per capita (constant 2015 US$),2204.46066506702
2009,Adjusted net national income per capita (constant 2015 US$),2279.81181225395
2010,Adjusted net national income per capita (constant 2015 US$),2386.53699233956
2011,Adjusted net national income per capita (constant 2015 US$),2362.3603945789
2012,Adjusted net national income per capita (constant 2015 US$),2525.06522067348
2013,Adjusted net national income per capita (constant 2015 US$),2685.99935566972
2014,Adjusted net national income per capita (constant 2015 US$),2806.74337732412
2015,Adjusted net national income per capita (constant 2015 US$),2957.76119931877
2016,Adjusted net national income per capita (constant 2015 US$),3106.65803730567
2017,Adjusted net national income per capita (constant 2015 US$),3264.66032825631
2018,Adjusted net national income per capita (constant 2015 US$),3375.25041544939
2019,Adjusted net national income per capita (constant 2015 US$),3466.56527069272
2020,Adjusted net national income per capita (constant 2015 US$),3045.15819349489
2021,Adjusted net national income per capita (constant 2015 US$),2951.4001671731
2022,Adjusted net national income per capita (constant 2015 US$),2951.4001671731
2023,Adjusted net national income per capita (constant 2015 US$),2951.4001671731
2024,Adjusted net national income per capita (constant 2015 US$),2951.4001671731
1960,Adjusted net national income per capita (current US$),190.243209971076
1961,Adjusted net national income per capita (current US$),190.243209971076
1962,Adjusted net national income per capita (current US$),190.243209971076
1963,Adjusted net national income per capita (current US$),190.243209971076
1964,Adjusted net national income per capita (current US$),190.243209971076
1965,Adjusted net national income per capita (current US$),190.243209971076
1966,Adjusted net national income per capita (current US$),190.243209971076
1967,Adjusted net national income per capita (current US$),190.243209971076
1968,Adjusted net national income per capita (current US$),190.243209971076
1969,Adjusted net national income per capita (current US$),190.243209971076
1970,Adjusted net national income per capita (current US$),190.243209971076
1971,Adjusted net national income per capita (current US$),190.243209971076
1972,Adjusted net national income per capita (current US$),200.805072973933
1973,Adjusted net national income per capita (current US$),250.461890503982
1974,Adjusted net national income per capita (current US$),344.446092060004
1975,Adjusted net national income per capita (current US$),364.960131257174
1976,Adjusted net national income per capita (current US$),407.231176494891
1977,Adjusted net national income per capita (current US$),459.29771509542
1978,Adjusted net national income per capita (current US$),519.009252113956
1979,Adjusted net national income per capita (current US$),601.818215463572
1980,Adjusted net national income per capita (current US$),695.521224805354
1981,Adjusted net national income per capita (current US$),747.063834209512
1982,Adjusted net national income per capita (current US$),748.237211641138
1983,Adjusted net national income per capita (current US$),645.171433848318
1984,Adjusted net national income per capita (current US$),572.650268582053
1985,Adjusted net national income per capita (current US$),543.01232532477
1986,Adjusted net national income per capita (current US$),514.868377903049
1987,Adjusted net national income per capita (current US$),564.660633110595
1988,Adjusted net national income per capita (current US$),635.961463118541
1989,Adjusted net national income per capita (current US$),700.7030786745
1990,Adjusted net national income per capita (current US$),726.568060929505
1991,Adjusted net national income per capita (current US$),736.290254182081
1992,Adjusted net national income per capita (current US$),850.29387520628
1993,Adjusted net national income per capita (current US$),849.922158490202
1994,Adjusted net national income per capita (current US$),991.240393629987
1995,Adjusted net national income per capita (current US$),1122.78205197901
1996,Adjusted net national income per capita (current US$),1240.91372040913
1997,Adjusted net national income per capita (current US$),1225.44452246539
1998,Adjusted net national income per capita (current US$),1031.38843003328
1999,Adjusted net national income per capita (current US$),1154.05695393406
2000,Adjusted net national income per capita (current US$),1062.23795311658
2001,Adjusted net national income per capita (current US$),977.815040933425
2002,Adjusted net national income per capita (current US$),1021.43685687693
2003,Adjusted net national income per capita (current US$),1030.45418023266
2004,Adjusted net national income per capita (current US$),1073.03930156692
2005,Adjusted net national income per capita (current US$),1193.16670648646
2006,Adjusted net national income per capita (current US$),1381.08740907258
2007,Adjusted net national income per capita (current US$),1632.71253499643
2008,Adjusted net national income per capita (current US$),1905.92569413372
2009,Adjusted net national income per capita (current US$),1864.36793493746
2010,Adjusted net national income per capita (current US$),2139.73506803663
2011,Adjusted net national income per capita (current US$),2348.50524519898
2012,Adjusted net national income per capita (current US$),2621.08166727407
2013,Adjusted net national income per capita (current US$),2814.87319803157
2014,Adjusted net national income per capita (current US$),2886.66682273683
2015,Adjusted net national income per capita (current US$),2957.76119931877
2016,Adjusted net national income per capita (current US$),3034.55976635583
2017,Adjusted net national income per capita (current US$),3086.41389355763
2018,Adjusted net national income per capita (current US$),3200.75758797595
2019,Adjusted net national income per capita (current US$),3391.15123856357
2020,Adjusted net national income per capita (current US$),3130.21304409611
2021,Adjusted net national income per capita (current US$),3196.29090547243
2022,Adjusted net national income per capita (current US$),3196.29090547243
2023,Adjusted net national income per capita (current US$),3196.29090547243
2024,Adjusted net national income per capita (current US$),3196.29090547243
1960,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1961,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1962,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1963,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1964,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1965,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1966,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1967,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1968,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1969,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1970,Adjusted savings: consumption of fixed capital (% of GNI),11.4229879582757
1971,Adjusted savings: consumption of fixed capital (% of GNI),10.6573204518094
1972,Adjusted savings: consumption of fixed capital (% of GNI),10.7556106650928
1973,Adjusted savings: consumption of fixed capital (% of GNI),9.51787725898449
1974,Adjusted savings: consumption of fixed capital (% of GNI),7.78831579772462
1975,Adjusted savings: consumption of fixed capital (% of GNI),7.66410239462812
1976,Adjusted savings: consumption of fixed capital (% of GNI),7.39856457083525
1977,Adjusted savings: consumption of fixed capital (% of GNI),7.26953911595145
1978,Adjusted savings: consumption of fixed capital (% of GNI),7.2291514269002
1979,Adjusted savings: consumption of fixed capital (% of GNI),7.69579559004647
1980,Adjusted savings: consumption of fixed capital (% of GNI),7.1053988889935
1981,Adjusted savings: consumption of fixed capital (% of GNI),7.19493261011856
1982,Adjusted savings: consumption of fixed capital (% of GNI),7.35230961840716
1983,Adjusted savings: consumption of fixed capital (% of GNI),8.06253267120789
1984,Adjusted savings: consumption of fixed capital (% of GNI),9.62035698703343
1985,Adjusted savings: consumption of fixed capital (% of GNI),10.2979946723281
1986,Adjusted savings: consumption of fixed capital (% of GNI),10.2554411379218
1987,Adjusted savings: consumption of fixed capital (% of GNI),9.68148138792207
1988,Adjusted savings: consumption of fixed capital (% of GNI),8.64670001935488
1989,Adjusted savings: consumption of fixed capital (% of GNI),8.06886237520226
1990,Adjusted savings: consumption of fixed capital (% of GNI),7.7688126135278
1991,Adjusted savings: consumption of fixed capital (% of GNI),7.91618869769266
1992,Adjusted savings: consumption of fixed capital (% of GNI),7.99330556075451
1993,Adjusted savings: consumption of fixed capital (% of GNI),8.79266217775545
1994,Adjusted savings: consumption of fixed capital (% of GNI),8.73038920276042
1995,Adjusted savings: consumption of fixed capital (% of GNI),8.78189329752292
1996,Adjusted savings: consumption of fixed capital (% of GNI),8.47410648346484
1997,Adjusted savings: consumption of fixed capital (% of GNI),8.17094528647472
1998,Adjusted savings: consumption of fixed capital (% of GNI),7.85099575575571
1999,Adjusted savings: consumption of fixed capital (% of GNI),7.53058197707639
2000,Adjusted savings: consumption of fixed capital (% of GNI),7.50240927964417
2001,Adjusted savings: consumption of fixed capital (% of GNI),7.93430877947495
2002,Adjusted savings: consumption of fixed capital (% of GNI),7.99078941931211
2003,Adjusted savings: consumption of fixed capital (% of GNI),8.13139413525375
2004,Adjusted savings: consumption of fixed capital (% of GNI),10.4759143057062
2005,Adjusted savings: consumption of fixed capital (% of GNI),10.5763591583846
2006,Adjusted savings: consumption of fixed capital (% of GNI),10.5629047172428
2007,Adjusted savings: consumption of fixed capital (% of GNI),10.5394182304177
2008,Adjusted savings: consumption of fixed capital (% of GNI),10.3568885428797
2009,Adjusted savings: consumption of fixed capital (% of GNI),9.86117708467007
2010,Adjusted savings: consumption of fixed capital (% of GNI),9.89032615317717
2011,Adjusted savings: consumption of fixed capital (% of GNI),9.38347995215197
2012,Adjusted savings: consumption of fixed capital (% of GNI),8.98446778484244
2013,Adjusted savings: consumption of fixed capital (% of GNI),8.96355689812534
2014,Adjusted savings: consumption of fixed capital (% of GNI),8.93033632400427
2015,Adjusted savings: consumption of fixed capital (% of GNI),8.45808307883466
2016,Adjusted savings: consumption of fixed capital (% of GNI),8.2764240030051
2017,Adjusted savings: consumption of fixed capital (% of GNI),8.13283535984195
2018,Adjusted savings: consumption of fixed capital (% of GNI),8.27840048042466
2019,Adjusted savings: consumption of fixed capital (% of GNI),8.96529299995707
2020,Adjusted savings: consumption of fixed capital (% of GNI),9.45734892678617
2021,Adjusted savings: consumption of fixed capital (% of GNI),10.1233060938866
2022,Adjusted savings: consumption of fixed capital (% of GNI),10.1233060938866
2023,Adjusted savings: consumption of fixed capital (% of GNI),10.1233060938866
2024,Adjusted savings: consumption of fixed capital (% of GNI),10.1233060938866
1960,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1961,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1962,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1963,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1964,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1965,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1966,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1967,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1968,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1969,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1970,Adjusted savings: consumption of fixed capital (current US$),848625774.384712
1971,Adjusted savings: consumption of fixed capital (current US$),881763760.140118
1972,Adjusted savings: consumption of fixed capital (current US$),961620826.056025
1973,Adjusted savings: consumption of fixed capital (current US$),1075322282.93688
1974,Adjusted savings: consumption of fixed capital (current US$),1211318723.78062
1975,Adjusted savings: consumption of fixed capital (current US$),1283701948.9312
1976,Adjusted savings: consumption of fixed capital (current US$),1415171329.15096
1977,Adjusted savings: consumption of fixed capital (current US$),1609634769.37722
1978,Adjusted savings: consumption of fixed capital (current US$),1852548015.17092
1979,Adjusted savings: consumption of fixed capital (current US$),2385350830.74992
1980,Adjusted savings: consumption of fixed capital (current US$),2587021808.36741
1981,Adjusted savings: consumption of fixed capital (current US$),2876004649.25433
1982,Adjusted savings: consumption of fixed capital (current US$),3026358514.11458
1983,Adjusted savings: consumption of fixed capital (current US$),2975093628.40073
1984,Adjusted savings: consumption of fixed capital (current US$),3295472720.42707
1985,Adjusted savings: consumption of fixed capital (current US$),3464715247.15759
1986,Adjusted savings: consumption of fixed capital (current US$),3350060880.23946
