Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Philippines,PHL,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,81.9
Philippines,PHL,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,80.7
Philippines,PHL,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,81.2
Philippines,PHL,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,78.5
Philippines,PHL,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,76.1
Philippines,PHL,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,74.6
Philippines,PHL,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,73.1
Philippines,PHL,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,70
Philippines,PHL,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,69.9
Philippines,PHL,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.5
Philippines,PHL,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,63.5
Philippines,PHL,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,65
Philippines,PHL,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,63.4
Philippines,PHL,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.8
Philippines,PHL,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,56.1771339939245
Philippines,PHL,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,54.2250582751455
Philippines,PHL,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,56.4083199093136
Philippines,PHL,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,54.6597121077381
Philippines,PHL,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,52.9143161486911
Philippines,PHL,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,51.1707123816351
Philippines,PHL,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,49.3467057912156
Philippines,PHL,2023,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.4
Philippines,PHL,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98
Philippines,PHL,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.6
Philippines,PHL,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.2
Philippines,PHL,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.8
Philippines,PHL,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.4
Philippines,PHL,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.4
Philippines,PHL,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.6
Philippines,PHL,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.9
Philippines,PHL,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.8
Philippines,PHL,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.1
Philippines,PHL,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.7
Philippines,PHL,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.4
Philippines,PHL,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93.9
Philippines,PHL,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.1
Philippines,PHL,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93.7
Philippines,PHL,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,92.5
Philippines,PHL,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,92.3
Philippines,PHL,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,91.6
Philippines,PHL,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,91.3
Philippines,PHL,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,92
Philippines,PHL,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,90.5
Philippines,PHL,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,90.2
Philippines,PHL,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,89.8
Philippines,PHL,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,90.1387028775341
Philippines,PHL,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,91.1
Philippines,PHL,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,88.6244735717773
Philippines,PHL,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,88.1943969726563
Philippines,PHL,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,87.7485122680664
Philippines,PHL,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,87.2900009155273
Philippines,PHL,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,83.7
Philippines,PHL,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,98
Philippines,PHL,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.8
Philippines,PHL,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.5
Philippines,PHL,2020,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.4
Philippines,PHL,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.3
Philippines,PHL,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.2
Philippines,PHL,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,93
Philippines,PHL,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,92
Philippines,PHL,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.1
Philippines,PHL,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.8
Philippines,PHL,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.5
Philippines,PHL,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.1
Philippines,PHL,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.2
Philippines,PHL,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.5
Philippines,PHL,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,84.3
Philippines,PHL,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,83.3
Philippines,PHL,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,82
Philippines,PHL,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,80.2
Philippines,PHL,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,79.8
Philippines,PHL,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.6
Philippines,PHL,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.6
Philippines,PHL,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.7
Philippines,PHL,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,75.7
Philippines,PHL,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,74.7
Philippines,PHL,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.8741709275167
Philippines,PHL,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.3
Philippines,PHL,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.3533935546875
Philippines,PHL,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,70.2449569702148
Philippines,PHL,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.1331176757813
Philippines,PHL,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,68.0185546875
Philippines,PHL,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,65.4
Philippines,PHL,2022,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,59.5695646325606
Philippines,PHL,2021,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,58.689113780384
Philippines,PHL,2020,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,57.1726205100486
Philippines,PHL,2019,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,54.5920917381013
Philippines,PHL,2018,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,52.0548494446895
Philippines,PHL,2017,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,49.6418353290241
Philippines,PHL,2016,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,47.6921043646817
Philippines,PHL,2015,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,44.5148216907527
Philippines,PHL,2014,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,42.7817038129999
Philippines,PHL,2013,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,42.6234953365397
Philippines,PHL,2012,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,38.7611250531397
Philippines,PHL,2011,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,36.6340927489303
Philippines,PHL,2010,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,34.39668152697
Philippines,PHL,2009,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,26.605089781682
Philippines,PHL,2008,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,25.8940168691735
Philippines,PHL,2007,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,28.2447870359497
Philippines,PHL,2006,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,26.9341176056214
Philippines,PHL,2005,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,26.9715558541199
Philippines,PHL,2004,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,28.9400789892239
Philippines,PHL,2003,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,28.2187381941821
Philippines,PHL,2002,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,33.2762498194648
Philippines,PHL,2001,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,39.9341126461212
Philippines,PHL,2000,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,36.7917862662839
Philippines,PHL,1999,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,26.9912145201776
Philippines,PHL,1998,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,22.5694778344072
Philippines,PHL,1997,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,18.5013945774807
Philippines,PHL,1996,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,13.2263600948048
Philippines,PHL,1995,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,6.28539071347678
Philippines,PHL,1994,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,4.42562132702978
Philippines,PHL,1993,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,7.58117310658791
Philippines,PHL,1992,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,6.92307692307692
Philippines,PHL,1991,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,7.57144528051776
Philippines,PHL,1990,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,7.3460705739355
Philippines,PHL,2022,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,77.864861229431
Philippines,PHL,2021,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,77.8804502033481
Philippines,PHL,2020,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,78.7627143629306
Philippines,PHL,2019,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,79.2108712667742
Philippines,PHL,2018,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,76.6178180505994
Philippines,PHL,2017,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,75.4275723217124
Philippines,PHL,2016,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,75.7932530810489
Philippines,PHL,2015,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,74.5634790627692
Philippines,PHL,2014,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,74.359969972302
Philippines,PHL,2013,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,73.5564531129594
Philippines,PHL,2012,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,71.5308347389641
Philippines,PHL,2011,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,71.3123048456112
Philippines,PHL,2010,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,73.6913583891825
Philippines,PHL,2009,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,67.4073117168325
Philippines,PHL,2008,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,66.0840828003486
Philippines,PHL,2007,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,68.4001274932479
Philippines,PHL,2006,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,63.9716112216685
Philippines,PHL,2005,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,67.634840101119
Philippines,PHL,2004,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,66.2687420698036
Philippines,PHL,2003,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,66.5810351341141
Philippines,PHL,2002,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,64.3571914911177
Philippines,PHL,2001,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,62.7077577045696
Philippines,PHL,2000,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,57.1097372488408
Philippines,PHL,1999,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,55.5078200424792
Philippines,PHL,1998,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,66.3477257428599
Philippines,PHL,1997,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,66.565318993894
Philippines,PHL,1996,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,63.1024055357289
Philippines,PHL,1995,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,63.1787566311021
Philippines,PHL,1994,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,60.0446501854953
Philippines,PHL,1993,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,59.7539410813048
Philippines,PHL,1992,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,60.8040201005025
Philippines,PHL,1991,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,57.4915201372373
Philippines,PHL,1990,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,54.5751509856801
Philippines,PHL,2022,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,9.04272967762184
Philippines,PHL,2021,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.68722216967748
Philippines,PHL,2020,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.06795734853324
Philippines,PHL,2019,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.56782753840496
Philippines,PHL,2018,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,9.40519626318111
Philippines,PHL,2017,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,10.1833209706475
Philippines,PHL,2016,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.93311453021576
Philippines,PHL,2015,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,10.5141179182896
Philippines,PHL,2014,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,11.825994667495
Philippines,PHL,2013,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,13.3114553716153
Philippines,PHL,2012,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,14.0590502050164
Philippines,PHL,2011,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,14.0193130565514
Philippines,PHL,2010,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,11.5187033155207
Philippines,PHL,2009,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,15.8054514920553
Philippines,PHL,2008,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,16.1835550221141
Philippines,PHL,2007,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,14.3647984432403
Philippines,PHL,2006,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,17.5034781536728
Philippines,PHL,2005,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,14.8266657238319
Philippines,PHL,2004,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,15.3564344049895
Philippines,PHL,2003,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,14.8658859085757
Philippines,PHL,2002,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,14.5109043266553
Philippines,PHL,2001,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,15.0988310308183
Philippines,PHL,2000,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,17.2201368955619
Philippines,PHL,1999,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,18.9225719250821
Philippines,PHL,1998,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,12.2223290701029
Philippines,PHL,1997,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,15.2498932080308
Philippines,PHL,1996,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,19.1516604462364
Philippines,PHL,1995,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,18.5730464326161
Philippines,PHL,1994,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,19.2455431892052
Philippines,PHL,1993,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,18.9247150005644
Philippines,PHL,1992,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,17.1627367607267
Philippines,PHL,1991,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,20.0592615696518
Philippines,PHL,1990,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,23.0257910130284
Philippines,PHL,2022,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.58884455006053
Philippines,PHL,2021,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.42778776127873
Philippines,PHL,2020,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.57299395607095
Philippines,PHL,2019,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.42465650078743
Philippines,PHL,2018,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.0273044384748
Philippines,PHL,2017,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.75384126311328
Philippines,PHL,2016,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.12805489168144
Philippines,PHL,2015,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.077451372963
Philippines,PHL,2014,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.64898656519376
Philippines,PHL,2013,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.2848563760529
Philippines,PHL,2012,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.4644615405713
Philippines,PHL,2011,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.1021163409275
Philippines,PHL,2010,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,11.5142747483098
Philippines,PHL,2009,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.1786590879731
Philippines,PHL,2008,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.6272175728778
Philippines,PHL,2007,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.7627451309322
Philippines,PHL,2006,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.1251078667911
Philippines,PHL,2005,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.0511959269539
Philippines,PHL,2004,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.9152742284254
Philippines,PHL,2003,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.8636191915376
Philippines,PHL,2002,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.3176594383808
Philippines,PHL,2001,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.1232731137088
Philippines,PHL,2000,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.0097151689115
Philippines,PHL,1999,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.8878161807299
Philippines,PHL,1998,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.0614482161746
Philippines,PHL,1997,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,15.1694851370706
Philippines,PHL,1996,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,16.6943634729071
Philippines,PHL,1995,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,17.0918519401562
Philippines,PHL,1994,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,15.5422042745986
Philippines,PHL,1993,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,15.9449189209526
Philippines,PHL,1992,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,15.7363741785852
Philippines,PHL,1991,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.3825490272525
Philippines,PHL,1990,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,15.1175599194743
Philippines,PHL,2022,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,16.0373043985114
Philippines,PHL,2021,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,17.6629149720987
Philippines,PHL,2020,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,19.1597464498059
Philippines,PHL,2019,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,21.0805254571345
Philippines,PHL,2018,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,21.3834649773465
Philippines,PHL,2017,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,21.7728091554519
Philippines,PHL,2016,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,21.8663612233884
Philippines,PHL,2015,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,22.9065802725298
Philippines,PHL,2014,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,24.1904170225984
Philippines,PHL,2013,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,24.9661201604974
Philippines,PHL,2012,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,26.9359992320456
Philippines,PHL,2011,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,29.7661038510466
